Nome: PIATA
Codigo Estacao: A430
Latitude: -13.155681
Longitude: -41.774125
Altitude: 1283.95
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2016-07-10;0;16,779167;82,833333;
2016-07-11;0;17,875;69,75;
2016-07-12;0;18,079167;67,291667;
2016-07-13;0;17,783333;68,208333;
2016-07-14;0;17,758333;64,916667;
2016-07-15;0;17,654167;64,958333;
2016-07-16;0;18,2375;55;
2016-07-17;0;18,691667;55,583333;
2016-07-18;0;20,083333;51,125;
2016-07-19;0;19,120833;65,416667;
2016-07-20;0;18,425;72,958333;
2016-07-21;0;18,383333;69,666667;
2016-07-22;0;18,4;68,125;
2016-07-23;0;17,0375;69,791667;
2016-07-24;0;16,225;82,416667;
2016-07-25;0;16,091667;83,583333;
2016-07-26;,6;15,970833;80,708333;
2016-07-27;,2;16,816667;69,041667;
2016-07-28;0;17,625;66,791667;
2016-07-29;,2;16,7875;65,041667;
2016-07-30;0;15,75;71,291667;
2016-07-31;0;15,1875;79,708333;
2016-08-01;0;15,341667;76,833333;
2016-08-02;0;17,420833;74,166667;
2016-08-03;0;17,679167;74,208333;
2016-08-04;0;16,658333;71,75;
2016-08-05;0;15,558333;79,916667;
2016-08-06;1,2;16,8125;79,291667;
2016-08-07;0;17,883333;68,25;
2016-08-08;0;17,704167;64,291667;
2016-08-09;0;18,716667;61,666667;
2016-08-10;0;18,979167;59,583333;
2016-08-11;0;20,145833;54,791667;
2016-08-12;0;18,4125;69,5;
2016-08-13;0;18,475;63,125;
2016-08-14;0;19,129167;65,166667;
2016-08-15;0;19,658333;61,25;
2016-08-16;0;21,2875;51,208333;
2016-08-17;0;22,254167;49,5;
2016-08-18;0;21,366667;59,625;
2016-08-19;0;19,4875;68,25;
2016-08-20;0;19,041667;63,25;
2016-08-21;0;19,945833;56,583333;
2016-08-22;0;21,920833;44,416667;
2016-08-23;0;19,016667;72,25;
2016-08-24;,2;16,770833;87,958333;
2016-08-25;,4;15,575;85,125;
2016-08-26;0;17,8;67,291667;
2016-08-27;,4;16,575;91,083333;
2016-08-28;1,2;16,383333;77,208333;
2016-08-29;0;17,929167;74,541667;
2016-08-30;,2;18,945833;74,916667;
2016-08-31;0;18,945833;67,958333;
2016-09-01;0;18,541667;67,25;
2016-09-02;0;17,158333;78,041667;
2016-09-03;0;15,979167;81,166667;
2016-09-04;,2;16,925;71,041667;
2016-09-05;0;16,85;81,5;
2016-09-06;,2;18,3625;67,625;
2016-09-07;0;18,758333;67,208333;
2016-09-08;0;19,1375;63,458333;
2016-09-09;0;18,9125;59,791667;
2016-09-10;0;18,183333;64,333333;
2016-09-11;0;18,016667;63,5;
2016-09-12;0;19,291667;54,666667;
2016-09-13;0;19,15;61,75;
2016-09-14;0;20,0125;52,416667;
2016-09-15;0;20,0875;60,791667;
2016-09-16;0;20,625;56,166667;
2016-09-17;0;20,320833;61,916667;
2016-09-18;0;20,204167;66,041667;
2016-09-19;0;20,366667;57,416667;
2016-09-20;0;21,1875;48,791667;
2016-09-21;0;22,283333;48,583333;
2016-09-22;0;19,9375;72,291667;
2016-09-23;0;18,595833;77,5;
2016-09-24;0;19,958333;69,083333;
2016-09-25;0;20,333333;65,791667;
2016-09-26;0;18,725;80,75;
2016-09-27;1,4;17,575;87,875;
2016-09-28;,8;18,3;83,416667;
2016-09-29;0;20,033333;71,791667;
2016-09-30;0;20,391667;68,541667;
2016-10-01;0;20,2;71,833333;
2016-10-02;null;20,520833;69,375;
2016-10-03;null;18,808333;82,75;
2016-10-04;null;20,6125;68,083333;
2016-10-05;null;21,120833;71;
2016-10-06;null;20,095833;80,041667;
2016-10-07;null;21,729167;72,125;
2016-10-08;null;20,758333;75,416667;
2016-10-09;null;18,979167;84,333333;
2016-10-10;null;20,1875;71,041667;
2016-10-11;null;18,045833;81,291667;
2016-10-12;null;17,858333;78,958333;
2016-10-13;null;17,666667;82,875;
2016-10-14;null;19,145833;65,458333;
2016-10-15;null;19,975;58;
2016-10-16;null;19,795833;58,833333;
2016-10-17;null;20,620833;60,75;
2016-10-18;null;20,858333;63,583333;
2016-10-19;null;21,55;64,875;
