datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2015/11/18 16:08:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,0,0,1,-12.662,-41.456,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/16 16:20:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,15,5.6,1,-13.05,-41.31,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/06 15:56:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,0,0.3,0.5,-13.256,-41.253,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/20 15:56:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,3,0.2,1,-12.687,-41.475,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/14 16:33:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,15,0,1,-12.488,-41.422,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/20 16:08:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,14,0,1,-13.136,-41.354,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/09 16:26:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,3,0,0.8,-13.247,-41.27,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/18 16:08:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,1,0.6,1,-13.034,-41.322,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/16 16:32:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,9,0,1,-13.218,-41.236,,PARNA DA CHAPADA DA DIAMANTINA
2015/10/09 16:57:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,50,0,1,-13.373,-41.371,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/12 16:45:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,12,0,1,-12.469,-41.452,,PARNA DA CHAPADA DA DIAMANTINA
